section,function,is_prop
       numpy.ndarray      ,numpy.ndarray.partition,False
       numpy.ndarray      ,numpy.ndarray.prod,False
       numpy.ndarray      ,numpy.ndarray.ptp,False
       numpy.ndarray      ,numpy.ndarray.put,False
       numpy.ndarray      ,numpy.ndarray.ravel,False
       numpy.ndarray      ,numpy.ndarray.repeat,False
       numpy.ndarray      ,numpy.ndarray.reshape,False
       numpy.ndarray      ,numpy.ndarray.resize,False
       numpy.ndarray      ,numpy.ndarray.round,False
       numpy.ndarray      ,numpy.ndarray.searchsorted,False
       numpy.ndarray      ,numpy.ndarray.setfield,False
       numpy.ndarray      ,numpy.ndarray.setflags,False
       numpy.ndarray      ,numpy.ndarray.sort,False
       numpy.ndarray      ,numpy.ndarray.squeeze,False
       numpy.ndarray      ,numpy.ndarray.std,False
       numpy.ndarray      ,numpy.ndarray.sum,False
       numpy.ndarray      ,numpy.ndarray.swapaxes,False
       numpy.ndarray      ,numpy.ndarray.take,False
       numpy.ndarray      ,numpy.ndarray.tobytes,False
       numpy.ndarray      ,numpy.ndarray.tofile,False
       numpy.ndarray      ,numpy.ndarray.tolist,False
       numpy.ndarray      ,numpy.ndarray.tostring,False
       numpy.ndarray      ,numpy.ndarray.trace,False
       numpy.ndarray      ,numpy.ndarray.transpose,False
       numpy.ndarray      ,numpy.ndarray.var,False
       numpy.ndarray      ,numpy.ndarray.view,False
       numpy.ndarray      ,numpy.ndarray.flags,True
       numpy.ndarray      ,numpy.ndarray.shape,False
       numpy.ndarray      ,numpy.ndarray.strides,True
       numpy.ndarray      ,numpy.ndarray.ndim,True
       numpy.ndarray      ,numpy.ndarray.data,True
       numpy.ndarray      ,numpy.ndarray.size,True
       numpy.ndarray      ,numpy.ndarray.itemsize,True
       numpy.ndarray      ,numpy.ndarray.nbytes,True
       numpy.ndarray      ,numpy.ndarray.base,True
       numpy.ndarray      ,numpy.ndarray.dtype,False
       numpy.ndarray      ,numpy.ndarray.T,True
       numpy.ndarray      ,numpy.ndarray.real,False
       numpy.ndarray      ,numpy.ndarray.imag,False
       numpy.ndarray      ,numpy.ndarray.flat,True
       numpy.ndarray      ,numpy.ndarray.ctypes,True
       numpy.ndarray      ,numpy.ndarray.item,False
       numpy.ndarray      ,numpy.ndarray.tolist,False
       numpy.ndarray      ,numpy.ndarray.itemset,False
       numpy.ndarray      ,numpy.ndarray.tostring,False
       numpy.ndarray      ,numpy.ndarray.tobytes,False
       numpy.ndarray      ,numpy.ndarray.tofile,False
       numpy.ndarray      ,numpy.ndarray.dump,False
       numpy.ndarray      ,numpy.ndarray.dumps,False
       numpy.ndarray      ,numpy.ndarray.astype,False
